지역별,시점,건축착공면적[㎡],건축허가면적증감률[%],고용률(시도)[%],실업률(시도),소비자물가지수[2015=100],아파트매매가격지수,아파트전세가격지수[2017.11 = 100.0],주민등록인구[명],주택매매가격지수,주택전세가격지수[2017.11 = 100.0],지가변동률[%],부동산 시장 소비심리지수,토지거래필지수,기준금리,국고채,회사채,가계대출,주택담보대출,아파트매매거래량,PIR,LIR,Class,"강력범죄율(강력범죄수/인구수 *100, 단위 %)",연구시설,사회복지시설,공공직업훈련시설,청소년수련시설,학교,공공청사,문화시설,체육시설,사회복지시설,광장,공원,녹지,유원지,공공공지,교통문화지수,종합의료시설,"인구십만명당 문화기반시설수(A÷B×100,000) (개)",중대형 상가,소규모 상가,집합 상가,Class
충청북도,2020,467348.75,10.41666667,63.18333333,3.191666667,105.1808333,90.01791244,91.93534628,1598399.833,95.92433387,95.15605082,0.1875,113.45,10286.91667,0.666666667,0.98975,2.127583333,23153.80833,9627.866667,2529.666667,4.306666667,2.400833333,0,0.056095655,10,33,4,2,522,241,40,101,33,358,1028,1347,7,97,78.13,9,8.6,132,154,967,0
충청남도,2015,863899.25,31.88333333,62.25,3.441666667,99.99916667,105.8113393,102.8681074,2069171.083,101.8303124,101.0602626,0.12525,112.0833333,15034.66667,1.645833333,1.798,2.087416667,27155.53333,12720.025,2523.083333,4.373333333,2.020833333,0,0.057805722,12,23,1,7,724,210,32,47,23,354,1224,1492,13,234,75.77,9,7.4,70,154,1057,0
충청남도,2016,647195.75,-4.583333333,61.7,3.183333333,100.6866667,103.9823137,103.152494,2086576.5,101.1238309,101.4682748,0.157083333,104.5916667,14694.66667,1.354166667,1.440583333,1.885166667,30118.96667,14174.66667,1836.25,4.358333333,2.175833333,0,0.056755124,11,23,1,7,729,223,45,49,23,362,1238,1617,13,236,81.17,9,7.5,70,154,1057,0
충청남도,2017,656136.9167,1.65,62.28333333,2.858333333,102.6383333,101.0096015,100.9125985,2108163.583,100.1285734,100.385098,0.24525,101.75,16333.41667,1.291666667,1.80325,2.327,31874.88333,14370.625,1750.333333,4.7875,2.549166667,0,0.056784629,14,23,1,7,733,228,45,49,23,358,1184,1635,12,252,80.8,9,7.6,99,158,930,0
충청남도,2018,669713.5,24.94166667,63.54166667,3.083333333,104.105,97.19194546,97.16291103,2122137.167,98.88783294,98.48691191,0.187666667,95.63333333,15248.33333,1.541666667,2.099916667,2.649583333,32733.86667,14171.61667,1755.416667,4.8725,2.764166667,0,0.058788063,15,22,1,7,733,233,46,63,22,360,1187,1657,12,262,74.35,9,7.8,119,179,930,0
충청남도,2019,582940.3333,-15.10833333,63.65,2.866666667,104.0075,93.1055871,94.16470282,2125203.333,97.01890131,96.50151132,0.134916667,99.2,14344.16667,1.5625,1.53175,2.02475,33241.6,14097.15833,2254.833333,4.285833333,2.394166667,0,0.056834529,18,22,1,9,735,242,47,64,22,363,1178,1704,12,266,75.54,9,8.3,147,227,93,0
충청남도,2020,676796.5833,0.208333333,62.40833333,3.466666667,104.695,93.70552691,96.5471857,2120307.5,97.54204605,97.46158138,0.171833333,120.4416667,17833,0.666666667,0.98975,2.127583333,34268.625,14078.075,3364.5,4.4575,2.504166667,0,0.055727668,18,22,1,9,736,243,47,65,22,348,1139,1667,10,266,76.68,10,8.3,185,260,93,0
전라북도,2015,371273.0833,45.175,59.15833333,1.7,99.99916667,98.43243097,96.30804404,1869795.083,97.85401328,97.33341135,0.190333333,117.2083333,10672,1.645833333,1.798,2.087416667,19225.51667,9472.233333,2141.75,4.023333333,1.8175,0,0.052895875,26,30,3,11,802,170,37,62,30,313,752,673,15,81,77.11,6,8,121,146,900,0
전라북도,2016,400340.9167,30.775,59.94166667,2.066666667,100.5383333,98.56332938,97.46821153,1865764.917,98.04958162,98.17763625,0.177416667,114.025,10420.75,1.354166667,1.440583333,1.885166667,20898.75833,9810.8,2030.583333,4.079166667,2.0075,0,0.043651004,28,30,3,10,803,173,41,63,30,321,762,675,14,83,79.8,6,8.4,121,146,900,0
전라북도,2017,455388.8333,-5.358333333,58.60833333,2.508333333,102.4016667,99.32006584,99.0695431,1857810,99.04164804,99.29726569,0.273083333,112.0083333,11615.83333,1.291666667,1.80325,2.327,22872.50833,10534.2,1798.333333,4.371666667,2.341666667,0,0.045670053,26,29,3,10,801,176,43,64,29,322,771,705,15,85,80.68,6,8.7,119,165,832,0
